gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000198133.4,TMEM229B,3.89809785169,0.425717335315,9.69512420587e-05,0.0264494178412,0.046696903494,6.18703626043e-05,4.95859751991e-05,11,11,11
ENSG00000148297.11,MED22,-3.39231003226,-0.192760786987,0.000693059716864,0.148044564281,0.26106971494,7.11029031496e-24,3.40281083634e-23,9,9,9
ENSG00000074695.5,LMAN1,3.37237205584,0.369832958689,0.000745237022907,0.0337424296613,0.0685171754828,1.06152170702e-06,1.10319762511e-06,9,9,9
ENSG00000080200.5,CRYBG3,3.31757640839,1.55290853559,0.000908020759998,0.000445007206524,0.00889411637715,0.0834017653949,0.0340745493013,1,1,1
ENSG00000069011.11,PITX1,-3.18289226519,-0.136133648578,0.00145811857513,0.0484745790994,0.0784793054792,1.63666617538e-07,1.8784101506e-07,13,15,15
ENSG00000164347.13,GFM2,3.15664031053,0.601988137413,0.0015959808242,0.0123375179399,0.00911026436124,0.0797245321961,0.0327697188464,11,11,11
ENSG00000006451.3,RALA,-3.15100131052,-0.637114500694,0.00162711760163,0.0101984239634,0.0115334190386,0.0485177953758,0.021364320811,11,11,11
ENSG00000171811.8,TTC40,3.02425136834,0.29573546777,0.00249249249855,0.0433806764948,0.0329799470914,0.000795628559962,0.000524783307484,34,34,34
ENSG00000126860.7,EVI2A,2.95421555869,0.200219445953,0.0031346496977,0.0851168596862,0.0789290830664,1.50376385322e-07,1.73540832151e-07,39,39,39
ENSG00000129646.9,QRICH2,-2.9515208163,-0.377071862182,0.00316213231227,0.0152994777579,0.0434117206193,0.000113945780379,8.75715292903e-05,7,7,7
ENSG00000186088.11,GSAP,-2.92575350706,-0.192494359343,0.00343623082232,0.119812070564,0.162861135529,1.13801328193e-14,2.60624339883e-14,23,25,25
ENSG00000153317.10,ASAP1,2.92539672059,0.201032462743,0.00344017346526,0.0586441821329,0.106862751534,7.38149470518e-10,1.08631676706e-09,15,15,15
ENSG00000153179.7,RASSF3,2.92073760425,0.457811009464,0.00349203802688,0.0218467897064,0.0345637810184,0.00059187549006,0.000403004966034,11,11,11
ENSG00000244045.6,TMEM199,2.9145720005,0.623211478936,0.00356176638644,0.00944835240699,0.00774279776673,0.106337647797,0.0419749275099,5,5,5
ENSG00000140320.7,BAHD1,2.91301211188,0.575350774864,0.00357960716976,0.0105985072677,0.0177856347343,0.0141382171358,0.00718729205171,4,5,5
ENSG00000198369.5,SPRED2,2.88880251432,7.72474861265,0.00386711857529,5.08313249726e-05,0.049164982626,3.91066625962e-05,3.22914631124e-05,2,2,2
ENSG00000148296.5,SURF6,-2.88414905935,-0.129335615903,0.00392472932958,0.248530178206,0.388772732867,8.38801247765e-38,9.6049855025e-37,16,16,16
ENSG00000197969.7,VPS13A,2.87919882417,0.212412469714,0.00398686896994,0.0371091538675,0.0307758651489,0.00120179861129,0.000767454359205,38,39,39
ENSG00000183032.6,SLC25A21,-2.85978105509,-0.64932815274,0.00423933580452,0.00727492518846,0.0136263720066,0.0319143083647,0.0148428505337,7,7,7
ENSG00000112164.5,GLP1R,-2.85228251848,-0.301245079975,0.00434065033025,0.0225601097959,0.0190591832101,0.0110572090278,0.00576445804566,19,21,21
ENSG00000150977.9,RILPL2,-2.81382074821,-0.878082428075,0.00489565188903,0.00487520647737,0.0159571327105,0.0201736042246,0.0098673819565,5,5,5
ENSG00000182912.6,C21orf90,-2.80228296878,-0.513992102262,0.00507423450235,0.008932751877,0.00922148393671,0.0779005401744,0.0321147402256,9,9,9
ENSG00000144824.15,PHLDB2,-2.80153429588,-3.45312095205,0.0050860234799,0.000204942081941,0.0132169071945,0.0346194028356,0.0159412985723,2,2,2
ENSG00000115947.9,ORC4,2.80130670101,0.73658508079,0.00508961220654,0.0063939396007,0.0116814126114,0.0470893167536,0.0208193864945,8,8,8
ENSG00000198131.9,ZNF544,2.79993032729,0.264839759629,0.0051113637504,0.0530503525388,0.0765093109086,2.37097107417e-07,2.66268194376e-07,22,22,22
ENSG00000038945.10,MSR1,2.7964930805,0.134296112513,0.00516605171812,0.174483105349,0.192126756378,2.66115275891e-17,7.71499161567e-17,56,59,59
ENSG00000257218.1,GATC,2.77824828877,0.283240813958,0.00546528390026,0.0409818437704,0.0418789202405,0.000151525302766,0.000114178308155,29,29,29
ENSG00000133962.3,CATSPERB,2.76433560701,0.12969412999,0.00570388402949,0.122863127714,0.0974178699378,4.51557295689e-09,6.09465202398e-09,74,75,75
ENSG00000167447.8,SMG8,-2.7611413002,-2.99750102622,0.00575997500682,0.000380428280169,0.011335121552,0.0505035762351,0.0221222044629,1,1,1
ENSG00000163576.13,EFHB,-2.75439105405,-0.10339475591,0.00588014631515,0.317322416024,0.443709350148,1.05681118867e-44,1.9631134329e-43,21,21,21
