FID	IID	phenotype
HG00096	HG00096	1.86547187065
HG00097	HG00097	1.07744246441
HG00099	HG00099	0.357389747182
HG00100	HG00100	-0.138675691706
HG00101	HG00101	1.99752239312
HG00102	HG00102	0.267971006746
HG00103	HG00103	0.206779004639
HG00105	HG00105	-0.264519987262
HG00106	HG00106	1.59174019621
HG00107	HG00107	-0.384874511961
HG00108	HG00108	0.0500284323536
HG00109	HG00109	0.805555866625
HG00110	HG00110	1.71145335565
HG00111	HG00111	1.21177330955
HG00112	HG00112	0.178638109047
HG00113	HG00113	0.113180824682
HG00114	HG00114	2.26525422033
HG00115	HG00115	-0.370666076437
HG00116	HG00116	1.2187137607
HG00117	HG00117	-0.4348741926
HG00118	HG00118	0.236969922755
HG00119	HG00119	1.02971759628
HG00120	HG00120	0.0994083365276
HG00121	HG00121	-0.88407055322
HG00122	HG00122	0.799633177484
HG00123	HG00123	-0.617467176413
HG00125	HG00125	1.02909647575
HG00126	HG00126	-1.09937594864
HG00127	HG00127	0.237560997901
HG00128	HG00128	0.406150807212
HG00129	HG00129	1.50553013159
HG00130	HG00130	0.749673694361
HG00131	HG00131	1.06051915601
HG00132	HG00132	-0.61155656895
HG00133	HG00133	0.173300399089
HG00136	HG00136	-0.26708015752
HG00137	HG00137	-0.214976846578
HG00138	HG00138	0.912068842823
HG00139	HG00139	0.85355937254
HG00140	HG00140	0.149418065129
HG00141	HG00141	1.66201753349
HG00142	HG00142	-0.909372911452
HG00143	HG00143	1.86776781692
HG00145	HG00145	0.910529201774
HG00146	HG00146	2.20565479444
HG00148	HG00148	1.55440958009
HG00149	HG00149	-0.0613293863873
HG00150	HG00150	1.68505822713
HG00151	HG00151	-0.136572231516
HG00154	HG00154	0.56075125646
HG00155	HG00155	-0.537667036107
HG00157	HG00157	1.00165417481
HG00158	HG00158	0.0290595371626
HG00159	HG00159	1.3922642003
HG00160	HG00160	0.577881560407
HG00171	HG00171	0.460448496624
HG00173	HG00173	0.157923953144
HG00174	HG00174	0.637467524242
HG00176	HG00176	-0.141889288601
HG00177	HG00177	0.481194928251
HG00178	HG00178	1.65531292562
HG00179	HG00179	0.432221943068
HG00180	HG00180	-0.181600601444
HG00181	HG00181	0.940873708814
HG00182	HG00182	0.513818805798
HG00183	HG00183	1.40100172537
HG00185	HG00185	0.149401567874
HG00186	HG00186	2.31311675298
HG00187	HG00187	0.314265521992
HG00188	HG00188	0.222848627287
HG00189	HG00189	0.953816038415
HG00190	HG00190	-0.777131112464
HG00231	HG00231	2.05665710809
HG00232	HG00232	-0.106373773022
HG00233	HG00233	0.745079306446
HG00234	HG00234	-0.612149281361
HG00235	HG00235	0.728256819587
HG00236	HG00236	-0.821785996217
HG00237	HG00237	0.435816225037
HG00238	HG00238	0.244317513193
HG00239	HG00239	1.5477191707
HG00240	HG00240	0.473986897699
HG00242	HG00242	-0.520419482427
HG00243	HG00243	-0.0614651507111
HG00244	HG00244	-0.255331300276
HG00245	HG00245	1.29135618125
HG00246	HG00246	1.15285241532
HG00250	HG00250	-0.142918997094
HG00251	HG00251	0.864228445826
HG00252	HG00252	0.804380614716
HG00253	HG00253	0.123674599325
HG00254	HG00254	2.10792465465
HG00255	HG00255	0.788063255927
HG00256	HG00256	1.55109178993
HG00257	HG00257	1.57419356999
HG00258	HG00258	2.78040031299
HG00259	HG00259	2.0648754382
HG00260	HG00260	-0.268759644126
HG00261	HG00261	-0.770295751236
HG00262	HG00262	0.307965560224
HG00263	HG00263	0.995917852056
HG00264	HG00264	2.86324717489
HG00265	HG00265	-0.329154921902
HG00266	HG00266	0.476858910583
HG00267	HG00267	0.845909785407
HG00268	HG00268	0.981354726171
HG00269	HG00269	-1.237018391
HG00271	HG00271	-0.191378647388
HG00272	HG00272	1.16991651298
HG00273	HG00273	-1.47070615026
HG00274	HG00274	0.767499700911
HG00275	HG00275	-0.401322392989
HG00276	HG00276	0.612786878114
HG00277	HG00277	0.495615937413
HG00278	HG00278	1.18037980098
HG00280	HG00280	0.197885927459
HG00281	HG00281	0.8735760541
HG00282	HG00282	0.774148563624
HG00284	HG00284	-0.754027804205
HG00285	HG00285	1.75407005554
HG00288	HG00288	-1.25979332623
HG00290	HG00290	0.647424877385
HG00304	HG00304	0.965651826138
HG00306	HG00306	0.103099265966
HG00308	HG00308	0.996019582097
HG00309	HG00309	2.2335881585
HG00310	HG00310	-0.0572784542679
HG00311	HG00311	0.16080541274
HG00313	HG00313	-0.870950293847
HG00315	HG00315	0.918494678504
HG00318	HG00318	0.0148002247103
HG00319	HG00319	-2.05697529044
HG00320	HG00320	-0.614853928561
HG00321	HG00321	0.558567995649
HG00323	HG00323	0.574400958536
HG00324	HG00324	-1.25574973856
HG00325	HG00325	0.459112593925
HG00326	HG00326	1.51982813854
HG00327	HG00327	-0.296690589337
HG00328	HG00328	0.552648240568
HG00329	HG00329	-1.74327916076
HG00330	HG00330	-1.75864777504
HG00331	HG00331	-0.125776871556
HG00332	HG00332	0.75994369606
HG00334	HG00334	-0.235687808119
HG00335	HG00335	0.764777155321
HG00336	HG00336	1.38189805369
HG00337	HG00337	0.682940967024
HG00338	HG00338	-1.23461891735
HG00339	HG00339	1.55022338714
HG00341	HG00341	-0.773588559824
HG00342	HG00342	-0.822498957747
HG00343	HG00343	0.949694829414
HG00344	HG00344	1.21784397639
HG00345	HG00345	0.633424021607
HG00346	HG00346	-1.06863862896
HG00349	HG00349	-0.660644641074
HG00350	HG00350	-0.582322130671
HG00351	HG00351	0.334488596933
HG00353	HG00353	1.93645846463
HG00355	HG00355	1.94318721169
HG00356	HG00356	-0.788024239324
HG00357	HG00357	0.761826616366
HG00358	HG00358	0.649589840109
HG00360	HG00360	0.158843379054
HG00361	HG00361	1.06519775007
HG00362	HG00362	1.57192700954
HG00364	HG00364	-0.00752491129573
HG00365	HG00365	0.384597465381
HG00366	HG00366	0.569988412834
HG00367	HG00367	-0.966275130621
HG00368	HG00368	0.058643708142
HG00369	HG00369	0.685453898346
HG00371	HG00371	0.938081275234
HG00372	HG00372	0.620821244705
HG00373	HG00373	0.951351670161
HG00375	HG00375	0.587263596378
HG00376	HG00376	1.13457263731
HG00378	HG00378	-1.92222093954
HG00379	HG00379	0.917949191688
HG00380	HG00380	0.103092892281
HG00381	HG00381	2.48841611299
HG00382	HG00382	0.208760315152
HG00383	HG00383	1.20688937165
HG00384	HG00384	2.96027753284
HG00403	HG00403	0.084857737552
HG00404	HG00404	0.479127911095
HG00406	HG00406	1.45722102832
HG00407	HG00407	-0.124905244954
HG00409	HG00409	-0.0489816162485
HG00410	HG00410	0.879832480999
HG00419	HG00419	-1.34877588324
HG00421	HG00421	1.17440308908
HG00422	HG00422	-0.130330630491
HG00428	HG00428	1.24929347401
HG00436	HG00436	-0.113438673967
HG00437	HG00437	-1.0777047335
HG00442	HG00442	1.71774120449
HG00443	HG00443	-0.132845608447
HG00445	HG00445	0.94810362671
HG00446	HG00446	0.138269374847
HG00448	HG00448	-0.00797071079445
HG00449	HG00449	0.776209667386
HG00451	HG00451	2.01257084573
HG00452	HG00452	-0.453492997521
HG00457	HG00457	2.66538365686
HG00458	HG00458	0.116232748618
HG00463	HG00463	0.77372917493
HG00464	HG00464	-0.789097452826
HG00472	HG00472	2.31225974277
HG00473	HG00473	0.833472545568
HG00475	HG00475	-1.24057099799
HG00476	HG00476	1.50435881172
HG00478	HG00478	0.930819010915
HG00479	HG00479	1.11556293353
HG00500	HG00500	0.739006155802
HG00513	HG00513	0.585190732557
HG00524	HG00524	0.784342132982
HG00525	HG00525	0.823223191463
HG00530	HG00530	-0.58811514308
HG00531	HG00531	-1.63889129412
HG00533	HG00533	-0.52833576466
HG00534	HG00534	0.527565404544
HG00536	HG00536	2.1483889394
HG00537	HG00537	0.515279224184
HG00542	HG00542	0.578157396369
HG00543	HG00543	0.516508500803
HG00551	HG00551	1.18886426102
HG00553	HG00553	0.745896944712
HG00554	HG00554	0.59028459669
HG00556	HG00556	-1.90712809738
HG00557	HG00557	-0.717365439062
HG00559	HG00559	0.310975912463
HG00560	HG00560	1.01513445866
HG00565	HG00565	-2.34378557188
HG00566	HG00566	0.321006390555
HG00580	HG00580	0.320768868504
HG00581	HG00581	0.0817851632998
HG00583	HG00583	0.382308237451
HG00584	HG00584	0.791415695554
HG00589	HG00589	0.00260928936509
HG00590	HG00590	-0.349159921882
HG00592	HG00592	1.88313569664
HG00593	HG00593	0.564109952012
HG00595	HG00595	0.803468697146
HG00596	HG00596	1.32066360064
HG00598	HG00598	-2.0121498622
HG00599	HG00599	0.709916013445
HG00607	HG00607	-1.93355690989
HG00608	HG00608	1.2814478699
HG00610	HG00610	0.750026045674
HG00611	HG00611	0.929208013204
HG00613	HG00613	0.58289544312
HG00614	HG00614	1.38821418178
HG00619	HG00619	-0.07785161104
HG00620	HG00620	-0.0424262173394
HG00622	HG00622	0.861904513814
HG00623	HG00623	3.50149852613
HG00625	HG00625	1.33082760671
HG00626	HG00626	0.254133689567
HG00628	HG00628	-0.547377929289
HG00629	HG00629	-0.747516988772
HG00631	HG00631	1.23572380194
HG00632	HG00632	0.0704113556019
HG00634	HG00634	1.01860823841
HG00637	HG00637	0.221653442194
HG00638	HG00638	0.53906409934
HG00640	HG00640	0.280079107072
HG00641	HG00641	0.665292125054
HG00650	HG00650	0.204764106585
HG00651	HG00651	1.01346854199
HG00653	HG00653	-0.515827020964
HG00654	HG00654	0.196414190159
HG00656	HG00656	1.95885555455
HG00657	HG00657	1.94073117103
HG00662	HG00662	0.977657337371
HG00663	HG00663	-0.65585204373
HG00671	HG00671	-0.869469443022
HG00672	HG00672	2.57900763187
HG00674	HG00674	0.799955002339
HG00675	HG00675	-0.336033827938
HG00683	HG00683	0.206647990155
HG00684	HG00684	0.257001484829
HG00689	HG00689	1.48615144753
HG00690	HG00690	0.0544412166336
HG00692	HG00692	0.548448246446
HG00693	HG00693	0.0460453794468
HG00698	HG00698	-0.812902834404
HG00699	HG00699	0.77530509636
HG00701	HG00701	2.08153349104
HG00704	HG00704	0.264360073393
HG00705	HG00705	0.374442369491
HG00707	HG00707	-1.11462974737
HG00708	HG00708	-0.0343531834832
HG00717	HG00717	-0.30526517332
HG00728	HG00728	-1.59745487936
HG00729	HG00729	0.807407299886
HG00731	HG00731	-0.117328668609
HG00732	HG00732	1.5412943428
HG00734	HG00734	0.924497977324
HG00736	HG00736	-1.19920771967
HG00737	HG00737	0.295771284945
HG00739	HG00739	2.0136237185
HG00740	HG00740	0.559299551915
HG00742	HG00742	1.31079068771
HG00743	HG00743	-0.161614230571
HG00759	HG00759	1.00802156269
HG00766	HG00766	1.17948448116
HG00844	HG00844	-0.473122482343
HG00851	HG00851	0.716490933526
HG00864	HG00864	0.802235383352
HG00867	HG00867	0.156768740777
HG00879	HG00879	0.522310762087
HG00881	HG00881	1.68825723444
HG00956	HG00956	-1.29014024732
HG00978	HG00978	0.731437676351
HG00982	HG00982	1.57802458043
HG01028	HG01028	1.05519515187
HG01029	HG01029	-0.408063875732
HG01031	HG01031	1.9800521373
HG01046	HG01046	1.28801450511
HG01047	HG01047	1.49602452822
HG01048	HG01048	0.229919284801
HG01049	HG01049	1.58873291208
HG01051	HG01051	-0.308624789487
HG01052	HG01052	0.471203658751
HG01054	HG01054	0.923560870018
HG01055	HG01055	-1.34157722144
HG01058	HG01058	2.63636742474
HG01060	HG01060	1.46201657431
HG01061	HG01061	-1.36470556948
HG01063	HG01063	0.314412156845
HG01064	HG01064	0.193642748361
HG01066	HG01066	0.135373816415
HG01067	HG01067	2.06280162423
HG01069	HG01069	1.07114526924
HG01070	HG01070	-1.29072539036
HG01072	HG01072	1.04703185508
HG01073	HG01073	-0.459373973107
HG01075	HG01075	1.83631361537
HG01077	HG01077	0.0035819123506
HG01079	HG01079	0.198823947133
HG01080	HG01080	1.34152135563
HG01082	HG01082	1.38253553066
HG01083	HG01083	0.369668099467
HG01085	HG01085	1.07045418283
HG01086	HG01086	-1.20344570768
HG01088	HG01088	1.04756664828
HG01089	HG01089	1.90090364035
HG01092	HG01092	0.600318402307
HG01094	HG01094	0.01573530167
HG01095	HG01095	1.25517532395
HG01097	HG01097	-0.709274482397
