FID	IID	phenotype
HG00096	HG00096	-2.51635997874
HG00097	HG00097	3.50630815158
HG00099	HG00099	1.4389418193
HG00100	HG00100	2.41842528859
HG00101	HG00101	-0.478714557906
HG00102	HG00102	-0.556184257459
HG00103	HG00103	-3.7908020867
HG00105	HG00105	1.08603832796
HG00106	HG00106	-1.12716298844
HG00107	HG00107	0.549534355528
HG00108	HG00108	0.0069276509223
HG00109	HG00109	2.45323526794
HG00110	HG00110	0.685817557752
HG00111	HG00111	0.180151325851
HG00112	HG00112	2.25450061006
HG00113	HG00113	-0.147717518612
HG00114	HG00114	0.533223785699
HG00115	HG00115	0.990091352429
HG00116	HG00116	1.68259667411
HG00117	HG00117	0.571164855972
HG00118	HG00118	2.69739517907
HG00119	HG00119	-0.63471273195
HG00120	HG00120	1.31733542311
HG00121	HG00121	-1.94855354186
HG00122	HG00122	2.98769517526
HG00123	HG00123	0.329806973048
HG00125	HG00125	-0.0640591036056
HG00126	HG00126	3.9156863332
HG00127	HG00127	1.86442813453
HG00128	HG00128	-0.124601243017
HG00129	HG00129	0.526347251477
HG00130	HG00130	0.568296837586
HG00131	HG00131	-0.760943780237
HG00132	HG00132	1.97202316769
HG00133	HG00133	-2.06766051325
HG00136	HG00136	-1.0977138207
HG00137	HG00137	-1.44177476631
HG00138	HG00138	0.745046568996
HG00139	HG00139	-1.302838613
HG00140	HG00140	-0.100897307246
HG00141	HG00141	-2.38294735221
HG00142	HG00142	-1.37368456732
HG00143	HG00143	0.276900497133
HG00145	HG00145	-2.73352060875
HG00146	HG00146	-0.177024415922
HG00148	HG00148	-1.2461986021
HG00149	HG00149	-0.0679679161252
HG00150	HG00150	0.0906829442555
HG00151	HG00151	0.0298805440789
HG00154	HG00154	-0.0507667539183
HG00155	HG00155	0.771286938841
HG00157	HG00157	-0.455620209375
HG00158	HG00158	0.638323956832
HG00159	HG00159	1.23987472546
HG00160	HG00160	-0.737387135698
HG00171	HG00171	0.763968708529
HG00173	HG00173	-0.388291476399
HG00174	HG00174	-2.56541625137
HG00176	HG00176	0.974053869989
HG00177	HG00177	1.59815677804
HG00178	HG00178	-0.675225870931
HG00179	HG00179	-0.586740519242
HG00180	HG00180	-1.11265730032
HG00181	HG00181	0.148672729305
HG00182	HG00182	2.02750785588
HG00183	HG00183	1.32044711607
HG00185	HG00185	2.39245458426
HG00186	HG00186	0.727392385869
HG00187	HG00187	-0.349016198478
HG00188	HG00188	-4.42862387525
HG00189	HG00189	1.83471847929
HG00190	HG00190	-0.402223745593
HG00231	HG00231	0.293256289877
HG00232	HG00232	-1.01890397475
HG00233	HG00233	2.53781445183
HG00234	HG00234	1.6307566068
HG00235	HG00235	-0.609406839577
HG00236	HG00236	3.57914625867
HG00237	HG00237	-1.32425786488
HG00238	HG00238	3.8596031142
HG00239	HG00239	1.68547360428
HG00240	HG00240	2.00685906492
HG00242	HG00242	-1.89330792294
HG00243	HG00243	1.7340583459
HG00244	HG00244	-0.858080777147
HG00245	HG00245	0.828661301272
HG00246	HG00246	-0.573421090529
HG00250	HG00250	1.53557599746
HG00251	HG00251	2.53593476672
HG00252	HG00252	-2.50387616124
HG00253	HG00253	-2.82045674656
HG00254	HG00254	2.13781691686
HG00255	HG00255	1.38168490506
HG00256	HG00256	-2.76127824149
HG00257	HG00257	1.45410172706
HG00258	HG00258	-3.15764411473
HG00259	HG00259	-0.643573464394
HG00260	HG00260	0.129971472768
HG00261	HG00261	1.03599407529
HG00262	HG00262	1.25798986442
HG00263	HG00263	0.338895248161
HG00264	HG00264	-0.630779865393
HG00265	HG00265	2.57335452474
HG00266	HG00266	0.57908826831
HG00267	HG00267	1.7826914644
HG00268	HG00268	-0.467782684256
HG00269	HG00269	2.10260296634
HG00271	HG00271	-2.21000057088
HG00272	HG00272	3.68704914989
HG00273	HG00273	1.59553503766
HG00274	HG00274	1.82018143798
HG00275	HG00275	0.772952875479
HG00276	HG00276	1.30526885394
HG00277	HG00277	-0.534061031785
HG00278	HG00278	1.99190711386
HG00280	HG00280	-2.40324538586
HG00281	HG00281	1.48466548247
HG00282	HG00282	1.24547077171
HG00284	HG00284	0.192086576633
HG00285	HG00285	0.452156858506
HG00288	HG00288	-0.415226849926
HG00290	HG00290	-0.60131425774
HG00304	HG00304	2.592292422
HG00306	HG00306	0.514922682532
HG00308	HG00308	0.85213258992
HG00309	HG00309	0.168398193877
HG00310	HG00310	1.89973748753
HG00311	HG00311	0.601071004092
HG00313	HG00313	-0.201765802763
HG00315	HG00315	-0.598567364279
HG00318	HG00318	-0.230259795113
HG00319	HG00319	2.84694012661
HG00320	HG00320	-0.729367566532
HG00321	HG00321	-1.63703224247
HG00323	HG00323	0.179234984628
HG00324	HG00324	1.90452952601
HG00325	HG00325	1.0247933073
HG00326	HG00326	0.391420941759
HG00327	HG00327	0.836588568287
HG00328	HG00328	0.608294387208
HG00329	HG00329	-0.17321435261
HG00330	HG00330	-2.77877370212
HG00331	HG00331	1.08381748957
HG00332	HG00332	3.81653103114
HG00334	HG00334	-0.196006779003
HG00335	HG00335	2.03084179173
HG00336	HG00336	-1.19001636678
HG00337	HG00337	1.20816727647
HG00338	HG00338	-0.511066723053
HG00339	HG00339	3.42692071713
HG00341	HG00341	-0.0896851451341
HG00342	HG00342	1.40867366488
HG00343	HG00343	-0.501340745693
HG00344	HG00344	0.809604711535
HG00345	HG00345	1.52082438822
HG00346	HG00346	-0.39845263186
HG00349	HG00349	-1.3925124535
HG00350	HG00350	-0.514983940784
HG00351	HG00351	2.96609553259
HG00353	HG00353	3.1263131714
HG00355	HG00355	4.79880155658
HG00356	HG00356	2.09393881193
HG00357	HG00357	2.2972230226
HG00358	HG00358	-0.565281972613
HG00360	HG00360	2.63280791076
HG00361	HG00361	-0.273356215136
HG00362	HG00362	-1.10680831452
HG00364	HG00364	0.14397310472
HG00365	HG00365	-3.28715190491
HG00366	HG00366	-0.132868003784
HG00367	HG00367	-3.07523208894
HG00368	HG00368	2.89476772438
HG00369	HG00369	-1.12918762994
HG00371	HG00371	1.69406153008
HG00372	HG00372	0.235204283124
HG00373	HG00373	1.09406073291
HG00375	HG00375	-0.322952921217
HG00376	HG00376	-1.21070902147
HG00378	HG00378	-2.07058319323
HG00379	HG00379	0.371833235365
HG00380	HG00380	-1.46119793169
HG00381	HG00381	-0.277947431307
HG00382	HG00382	-2.91304466146
