FID	IID	phenotype
HG00096	HG00096	1.84176803574
HG00097	HG00097	-1.3767819868
HG00099	HG00099	0.692208369878
HG00100	HG00100	-1.24104286081
HG00101	HG00101	3.45538083818
HG00102	HG00102	3.26293684432
HG00103	HG00103	-1.02946145328
HG00105	HG00105	2.39647114517
HG00106	HG00106	1.00704207977
HG00107	HG00107	1.23619200823
HG00108	HG00108	0.296147623728
HG00109	HG00109	1.92274131147
HG00110	HG00110	-0.930885890759
HG00111	HG00111	1.67454072013
HG00112	HG00112	2.44256392147
HG00113	HG00113	1.72961874429
HG00114	HG00114	-1.77393740253
HG00115	HG00115	1.13824957426
HG00116	HG00116	-0.891001619202
HG00117	HG00117	0.575198391444
HG00118	HG00118	-2.58943361215
HG00119	HG00119	-0.965095175679
HG00120	HG00120	3.55952233254
HG00121	HG00121	0.548342648191
HG00122	HG00122	-0.161382320732
HG00123	HG00123	-2.62722764012
HG00125	HG00125	-4.78950008543
HG00126	HG00126	1.8440292022
HG00127	HG00127	-0.939744480001
HG00128	HG00128	0.497804054375
HG00129	HG00129	-2.62330781751
HG00130	HG00130	1.67635898015
HG00131	HG00131	2.18820110301
HG00132	HG00132	1.68137257487
HG00133	HG00133	0.421438360535
HG00136	HG00136	-0.718629410098
HG00137	HG00137	0.126969536795
HG00138	HG00138	-4.70632420224
HG00139	HG00139	-1.30580560318
HG00140	HG00140	-4.90294932741
HG00141	HG00141	2.15308442169
HG00142	HG00142	-0.706251759286
HG00143	HG00143	3.49771612007
HG00145	HG00145	2.42823422407
HG00146	HG00146	2.04456972202
HG00148	HG00148	4.341751164
HG00149	HG00149	1.27241872104
HG00150	HG00150	1.77487388845
HG00151	HG00151	-0.712996513058
HG00154	HG00154	1.62281168262
HG00155	HG00155	-1.35859089149
HG00157	HG00157	-1.84571001635
HG00158	HG00158	0.245041676651
HG00159	HG00159	-1.56829073769
HG00160	HG00160	-1.49677701883
HG00171	HG00171	-3.13871644356
HG00173	HG00173	-2.87504684794
HG00174	HG00174	1.20694930051
HG00176	HG00176	0.78308339059
HG00177	HG00177	-0.819340312613
HG00178	HG00178	1.51201837584
HG00179	HG00179	1.10030436553
HG00180	HG00180	1.28268847593
HG00181	HG00181	-0.690849067215
HG00182	HG00182	-2.32925062825
HG00183	HG00183	-1.18314791719
HG00185	HG00185	2.35381980361
HG00186	HG00186	0.0704039274287
HG00187	HG00187	-0.3570897578
HG00188	HG00188	-0.114756068528
HG00189	HG00189	3.59577317646
HG00190	HG00190	-0.704093485516
HG00231	HG00231	0.237841917821
HG00232	HG00232	-0.432514919704
HG00233	HG00233	1.74281202939
HG00234	HG00234	4.14911020554
HG00235	HG00235	-3.00845585949
HG00236	HG00236	-2.72574610611
HG00237	HG00237	4.14220999114
HG00238	HG00238	1.06808728917
HG00239	HG00239	3.09352145339
HG00240	HG00240	-0.17700683279
HG00242	HG00242	-3.47833231401
HG00243	HG00243	0.937101675769
HG00244	HG00244	-0.155804186062
HG00245	HG00245	0.830719759235
HG00246	HG00246	-0.028886317131
HG00250	HG00250	-2.85006196075
HG00251	HG00251	4.08431533984
HG00252	HG00252	2.97980193765
HG00253	HG00253	4.80548386712
HG00254	HG00254	0.773803115388
HG00255	HG00255	2.40989506051
HG00256	HG00256	-1.75441767546
HG00257	HG00257	1.33235507819
HG00258	HG00258	0.43604707271
HG00259	HG00259	2.13528517594
HG00260	HG00260	2.38496698898
HG00261	HG00261	0.991013213856
HG00262	HG00262	1.96863537814
HG00263	HG00263	1.58695606428
HG00264	HG00264	0.0992648235609
HG00265	HG00265	0.534438603807
HG00266	HG00266	2.07433563045
HG00267	HG00267	0.313892949306
HG00268	HG00268	-1.39363398379
HG00269	HG00269	-2.66010341548
HG00271	HG00271	-2.83004783485
HG00272	HG00272	2.66576165033
